,time,magnitude
1966,175.661292,152.958435
1967,175.755387,153.044508
1968,175.77060300000002,153.07957650000003
1969,175.84902000000002,153.16167025000001
1970,175.91158800000002,153.216381
1971,176.083028,153.352878
1972,176.176757,153.419353
1973,176.255176,153.51383475
1974,176.348591,153.6160715
1975,176.41139,153.69053475
1976,176.442707,153.7529495
1977,176.59892100000002,153.88174775000002
1978,176.63012400000002,153.90525050000002
1979,176.723544,154.00658049999998
1980,176.833224,154.08490175000003
1981,176.973523,154.18232625000002
1982,177.051828,154.24889475
1983,177.16090300000002,154.38543700000002
1984,177.28618400000002,154.47540075
1985,177.36420900000002,154.54558725
1986,177.426466,154.61192525
1987,177.520556,154.721476
1988,177.583054,154.7994855
1989,177.73919800000002,154.88536825
1990,177.816999,154.979034
1991,177.97325600000002,155.07670475000003
1992,178.066977,155.15946375000001
1993,178.254749,155.288636
1994,178.301614,155.3120685
1995,178.36378100000002,155.370413
1996,178.42626800000002,155.42111450000002
1997,178.58248300000002,155.53842525000002
1998,178.62960600000002,155.597134
1999,178.773843,155.7004905
2000,178.83599900000002,155.7471945
2001,178.867612,155.77464650000002
2002,179.08594300000001,155.90340625000002
2003,179.133061,155.97377275000002
2004,179.19548400000002,156.03622850000002
2005,179.242444,156.09493450000002
2006,179.36752800000002,156.1769645
2007,179.46123300000002,156.24719475
2008,179.57055100000002,156.34487800000002
2009,179.633353,156.391829
2010,179.83639200000002,156.52857025000003
2011,179.86735000000002,156.586931
2012,179.91457400000002,156.68964250000002
2013,179.929891,156.74819275
2014,179.977022,156.79910725000002
2015,180.11756100000002,156.89280625
2016,180.164453,156.9396785
2017,180.25792900000002,157.02545975
2018,180.41414,157.11529000000002
2019,180.461271,157.1662685
2020,180.586253,157.2443745
2021,180.679964,157.37717700000002
2022,180.820735,157.45924625
2023,180.91439,157.52571899999998
2024,180.992087,157.62315675000002
2025,181.07056,157.7053645
2026,181.21109700000002,157.81841500000002
2027,181.351412,157.90822325
2028,181.41414600000002,157.99037750000002
2029,181.461071,158.0488415
2030,181.507959,158.11133925000001
2031,181.67970000000003,158.2596995
2032,181.69509000000002,158.306529
2033,181.757948,158.36535425
2034,181.78908700000002,158.3925815
2035,181.851573,158.47460975
2036,182.087174,158.64306925
2037,182.134305,158.69015075000002
2038,182.274979,158.8033615
2039,182.337104,158.853959
2040,182.478024,158.959561
2041,182.524931,158.998695
2042,182.555801,159.07671325
2043,182.618289,159.14694425
2044,182.68078100000002,159.21723450000002
2045,182.83724500000002,159.33491475000002
2046,182.852609,159.3583025
2047,182.962296,159.420957
