,time,magnitude
0,0.09336000000000001,9889.455425699838
1,0.109016,9956.957173714487
2,0.12463700000000001,9554.37787352966
3,0.14025800000000002,9530.359258337754
4,0.15588400000000002,9495.670568596257
5,0.218677,9515.305523451454
6,0.43706700000000004,9548.5474446801
7,0.499906,10081.513566177116
8,0.6716840000000001,10134.394847637392
9,0.7182550000000001,9915.767024220666
10,0.765402,9866.712410206188
11,0.827882,9513.531212320651
12,1.077844,9902.087570307762
13,1.140333,9927.324932638305
14,1.218466,10034.88478547244
15,1.37461,10145.341668725068
16,1.4367990000000002,9978.743467815439
17,1.60905,9567.391585301079
18,1.6558840000000001,9962.510867772846
19,1.7336360000000002,9973.455114078974
20,1.8901500000000002,9991.539331064349
21,1.983578,9395.234643223444
22,2.0306740000000003,10019.671204220642
23,2.2026060000000003,10121.104056381962
24,2.249142,9514.845303358012
25,2.311626,9978.75160794735
26,2.3430020000000003,9945.895799378151
27,2.4209870000000002,9908.661715150089
28,2.561789,10100.389868613158
29,2.671195,9583.054925540417
30,2.858382,10235.164381465558
31,3.1398260000000002,9865.071451156764
32,3.170763,10064.553952887636
33,3.280402,9874.056342836282
34,3.3426020000000003,9351.516571877753
35,3.451989,9474.739323476373
36,3.514638,9568.440893562089
37,3.5772220000000003,10071.166426043426
38,3.677499,10036.574776769747
39,3.7712830000000004,9621.813075042664
40,3.865276,9910.873213814582
41,4.13081,10135.990277673298
42,4.146151000000001,9508.337020592153
43,4.193306000000001,10077.250740540032
44,4.349538,10158.567920139152
45,4.427386,9554.887363823906
46,4.458624,9988.574931649007
47,4.521475000000001,10026.776317199845
48,4.583655,10080.158202333278
49,4.740055,9628.9147366992
50,4.833889,9393.2632099528
51,4.974117000000001,9336.918242629035
52,5.083748,9521.490487024777
53,5.130634000000001,10109.260680705023
54,5.302484000000001,10123.618226697656
55,5.364660000000001,9307.958526520728
56,5.427418,9994.70216157802
57,5.521133000000001,10139.930317971171
58,5.630485,9402.14431061854
59,5.708563000000001,9805.650227738657
60,5.755186,10077.163654688402
61,5.9116740000000005,10110.509775461784
62,6.036368,10219.889888115289
63,6.083500000000001,10160.417067054292
64,6.241621,10013.95891888077
65,6.35114,9403.859910075776
66,6.429221,9818.441048293105
67,6.582576,10041.786166128255
68,6.645063,9074.217873697191
69,6.723206,10221.646058093502
70,6.851323000000001,9450.431953041321
71,6.882601,9888.476917721004
72,6.9762960000000005,9971.530194415644
73,7.03908,9857.94365038941
74,7.070336,10038.572165375563
75,7.185659,10402.541472803168
76,7.248134,10254.168839887861
77,7.294719000000001,9675.6421561266
78,7.357522,9521.066428786893
79,7.498030000000001,10018.956710257664
80,7.560555000000001,10122.54401676682
81,7.591804000000001,10154.551570780643
82,7.623035000000001,9516.571637574363
83,7.763689,9513.435107156161
84,7.826063,9405.993751079777
85,7.888652,9679.71112350333
86,7.919791000000001,10624.116515739897
87,8.066035000000001,10330.161384823745
88,8.253909,9553.945135235499
89,8.410031,10122.87005250591
90,8.488037,10161.078746489851
91,8.534727,9091.441900260907
92,8.628619,10343.599667810156
93,8.73776,9537.062016699932
94,8.863062000000001,10495.134951162752
95,8.925249,10299.310955416171
96,9.11271,9228.45688316602
97,9.159867,10155.521651958286
98,9.222307,10354.309394161512
99,9.3472,9414.214095471723
100,9.409476,9799.212463128088
101,9.628464000000001,10187.817335975926
102,9.831253,9871.073396263517
103,9.972095000000001,9576.121171517549
104,10.003441,10436.822122468206
105,10.081231,10230.380709920475
106,10.272845,9553.435587517724
107,10.319406,9818.956919375662
108,10.413496,9678.474136883131
109,10.554103000000001,9855.151242927575
110,10.616347000000001,9065.944526029334
111,10.67901,9555.954757537593
112,10.7415,10245.999289386598
113,10.866471,10705.068749015752
114,10.897736,9741.36149848593
115,10.960189000000002,10401.49790157804
116,11.007026000000002,9902.479823246986
117,11.165055,9697.580412102985
118,11.227269000000001,10399.044353364214
119,11.274143,9287.156811349396
120,11.477465,10025.903511809916
121,11.524092000000001,9913.706557716334
122,11.586966,9606.236087248039
123,11.633727,9462.399891939145
124,11.790021000000001,9650.261865990999
125,11.868020000000001,9603.348143517147
126,11.914995000000001,9672.256696375904
127,12.117693000000001,9557.734048341239
128,12.164833000000002,9738.171489986595
129,12.227041000000002,9660.402019153946
130,12.305432000000001,9550.537012141167
131,12.461688,10027.000453779448
132,12.492878000000001,9729.84491538484
133,12.555367,9421.589718152934
134,12.633191,10481.129943065964
135,12.82093,10011.678073420047
136,12.867715,10155.99739415631
137,13.039633,9956.985597082697
138,13.101840000000001,9599.292744478937
139,13.215330000000002,9684.851603073563
140,13.309371,9684.90162988841
141,13.324665000000001,9901.414469994159
142,13.418672,10020.267723894232
143,13.465266000000002,9964.322116738093
144,13.527747000000002,10054.719887370547
145,13.684237000000001,9721.286257972468
146,13.746741,9860.226611350201
147,13.903069,10051.803677501213
148,14.07446,9821.304442491037
149,14.168181,9832.58847221225
150,14.278848000000002,9912.045348400425
151,14.357342000000001,9821.240733179115
152,14.45288,10065.029691601265
153,14.567589000000002,10076.38088366613
154,14.661737,10019.281793484672
155,14.75505,10135.53526711405
156,14.864399,9896.055883263702
157,14.926885,9951.760946227292
158,14.990003000000002,10112.36740723083
159,15.083764,10478.68033961534
160,15.447957,10459.970347548206
161,15.526069000000001,9530.654065046909
162,15.573438000000001,10358.995913301145
163,15.671774000000001,9994.406943346257
164,15.812327000000002,9816.694855122141
165,15.880482,10018.296535265941
166,15.942572,10171.953495257565
167,15.974176000000002,9896.926891214176
168,16.0363,10038.162804464768
169,16.218183,9998.545597225226
