,time,x,y,z,magnitude
0,0.09336000000000001,-1872.0,738.0,3728.0,3800.3457737421736
1,0.09336000000000001,-1760.0,866.0,3456.0,3562.8488601118065
2,0.09336000000000001,-1680.0,818.0,3680.0,3769.817502214132
3,0.109016,-1936.0,706.0,3664.0,3731.398129387964
4,0.109016,-1792.0,754.0,3696.0,3772.125660685232
5,0.109016,-1728.0,658.0,3712.0,3769.8684327175133
6,0.12463700000000001,-1712.0,642.0,3568.0,3625.2983325514056
7,0.12463700000000001,-1744.0,754.0,3664.0,3740.7769246508137
8,0.12463700000000001,-1904.0,706.0,3792.0,3857.1621692638228
9,0.12463700000000001,-1744.0,706.0,3840.0,3904.361151328089
10,0.14025800000000002,-1808.0,706.0,3632.0,3699.9810810327126
11,0.15588400000000002,-1712.0,738.0,3648.0,3721.901127112326
12,0.15588400000000002,-1744.0,658.0,3584.0,3643.901754987365
13,0.20292500000000002,-1824.0,722.0,3632.0,3703.067377188808
14,0.35923000000000005,-1776.0,754.0,3584.0,3662.454368316416
15,0.374581,-1648.0,834.0,3856.0,3945.160579748307
16,0.42168500000000003,-1760.0,754.0,3680.0,3756.449919804602
17,0.46866100000000005,-1760.0,850.0,3840.0,3932.9505463455803
18,0.530798,-1712.0,706.0,3712.0,3778.542046874694
19,0.7028880000000001,-1760.0,738.0,3520.0,3596.5322186795433
20,0.7495050000000001,-1664.0,802.0,3952.0,4032.556013250157
21,0.7966340000000001,-1744.0,818.0,3840.0,3926.1589371802056
22,0.8588450000000001,-1808.0,738.0,3824.0,3894.562876626849
23,1.0154180000000002,-1648.0,466.0,3472.0,3503.1328835772133
24,1.046637,-1696.0,818.0,3840.0,3926.1589371802056
25,1.1090790000000001,-1760.0,802.0,3760.0,3844.5811215267654
26,1.18697,-1840.0,754.0,3760.0,3834.8554079652076
27,1.327803,-1712.0,786.0,3792.0,3872.6037752395996
28,1.405588,-1792.0,786.0,3664.0,3747.3580026466648
29,1.483711,-1936.0,674.0,3712.0,3772.693997662678
30,1.6242880000000002,-1728.0,786.0,3760.0,3841.275309060781
31,1.7027050000000001,-1808.0,866.0,3584.0,3687.141440194558
32,1.8276780000000001,-1824.0,818.0,3728.0,3816.6880930985176
33,1.9367240000000001,-1744.0,802.0,3776.0,3860.2305630622636
34,2.014787,-1824.0,754.0,3728.0,3803.4852438257203
35,2.061702,-1776.0,706.0,3536.0,3605.7914526494733
36,2.233868,-1792.0,770.0,3728.0,3806.6893752971228
37,2.280387,-1760.0,850.0,3648.0,3745.7180886980805
38,2.37411,-1744.0,850.0,3744.0,3839.2754524779803
39,2.530339,-1840.0,802.0,3840.0,3922.856612215134
40,2.59302,-1808.0,754.0,3648.0,3725.10670988094
41,2.624023,-1728.0,866.0,3824.0,3920.8330747431723
42,2.7336750000000003,-1776.0,786.0,3600.0,3684.806100733117
43,2.936478,-1760.0,722.0,3712.0,3781.564226613109
44,2.968106,-1760.0,530.0,3696.0,3733.8071723108574
45,3.014584,-1728.0,770.0,3568.0,3650.140271277256
46,3.249216,-1904.0,866.0,3664.0,3764.9504644815715
47,3.2648210000000004,-1680.0,642.0,3616.0,3672.549523151458
48,3.3113580000000002,-1904.0,818.0,3728.0,3816.6880930985176
49,3.3738780000000004,-1600.0,786.0,4000.0,4076.4931006932907
50,3.4678720000000003,-1744.0,866.0,3632.0,3733.815742641835
51,3.5612980000000003,-1888.0,690.0,3712.0,3775.5852526462704
52,3.6240690000000004,-1760.0,754.0,3696.0,3772.125660685232
53,3.756069,-1728.0,754.0,3664.0,3740.7769246508137
54,3.833724,-1888.0,770.0,3792.0,3869.388065314721
55,3.927734,-1840.0,802.0,3808.0,3891.5379993005336
56,4.0839810000000005,-1776.0,754.0,3792.0,3866.2358955449163
57,4.177434,-1728.0,850.0,3824.0,3917.330213295785
58,4.224274,-1840.0,850.0,3664.0,3761.3024339980957
59,4.38077,-1760.0,738.0,3600.0,3674.866528188473
60,4.5523430000000005,-1792.0,786.0,3680.0,3763.0035875614044
61,4.72417,-1728.0,850.0,3808.0,3901.712957151
62,4.786926,-1808.0,818.0,3760.0,3847.950623383829
63,4.802708,-1712.0,738.0,3776.0,3847.4433069247425
64,5.0053600000000005,-1696.0,754.0,3728.0,3803.4852438257203
65,5.0525020000000005,-1744.0,722.0,3712.0,3781.564226613109
66,5.067849000000001,-1728.0,834.0,3728.0,3820.149211745531
67,5.161867,-1824.0,786.0,3632.0,3716.0758872767924
68,5.333369,-1760.0,818.0,3664.0,3754.200314314621
69,5.349357,-1712.0,738.0,3760.0,3831.741640559812
70,5.4114770000000005,-1744.0,722.0,3552.0,3624.636257612617
71,5.458656,-1712.0,658.0,3728.0,3785.6238587582893
72,5.474010000000001,-1792.0,802.0,3792.0,3875.8828671671695
73,5.614597000000001,-1776.0,754.0,3664.0,3740.7769246508137
74,5.677397,-1744.0,690.0,3648.0,3712.6815107143248
75,5.739676,-1808.0,738.0,3856.0,3925.987773796551
76,5.802354,-1712.0,802.0,3696.0,3782.012691676219
77,5.817673,-1680.0,866.0,3664.0,3764.9504644815715
78,5.833545,-1792.0,626.0,3616.0,3669.786369804106
79,5.942919000000001,-1664.0,674.0,3600.0,3662.5504774678534
80,5.9740470000000006,-1840.0,834.0,3680.0,3773.3216136449328
81,6.005153,-1728.0,690.0,3424.0,3492.8320887211285
82,6.067613000000001,-1728.0,754.0,3696.0,3772.125660685232
83,6.225849,-1712.0,786.0,3952.0,4029.4044224922372
84,6.2727450000000005,-1904.0,914.0,3696.0,3807.336601878011
85,6.3823430000000005,-1680.0,610.0,3728.0,3777.5764717606976
86,6.413348,-2000.0,818.0,3328.0,3427.0552957313075
87,6.566893,-1904.0,818.0,3632.0,3722.9756915671637
88,6.613825,-1936.0,1074.0,3600.0,3756.7906516067674
89,6.676059,-1984.0,914.0,3392.0,3512.9844861598804
90,6.754564,-1856.0,738.0,3744.0,3816.0424525940484
91,6.773211000000001,-1872.0,946.0,3776.0,3892.697265393239
92,6.851323000000001,-1824.0,834.0,3616.0,3710.9314194687026
93,6.929468000000001,-1840.0,866.0,3456.0,3562.8488601118065
94,7.007824,-1840.0,850.0,3648.0,3745.7180886980805
95,7.070336,-1792.0,802.0,3680.0,3766.3781010408393
96,7.154483000000001,-1792.0,834.0,3616.0,3710.9314194687026
97,7.216889,-1856.0,754.0,3888.0,3960.436844591768
98,7.27906,-1856.0,882.0,3584.0,3690.932131589526
