,0
0,0.9360520871066021
1,0.9430199405316663
2,0.939405947598932
3,0.943349712854986
4,0.9525395946864768
5,0.9418753468452802
6,0.9440727304060268
7,0.9413560166195345
8,0.9496441606033886
9,0.9249340286705457
10,0.9309637200704749
11,0.866723779094285
12,0.8370582756066017
13,0.8366290789778934
14,0.8137982374535563
15,0.8556152140934821
16,0.8102531608048545
17,0.8997954218766478
18,0.9037984828331808
19,0.9169165079898693
20,0.8946047337192166
21,0.8698244648819049
22,0.8663666939962639
23,0.8738438133687441
24,0.8921815829912771
25,0.8182554800884366
26,0.8378297540013279
27,0.8432668888404155
28,0.8475682603172283
29,0.922914311163107
30,0.8581185089171854
31,0.8189637668997943
32,0.8405366615714334
33,0.8495670412389684
34,0.8509001489754632
35,0.8548012803589656
36,0.8575457952582437
37,0.8662366995008691
38,0.8547315158338544
39,0.8708294096174394
40,0.8568566320454942
41,0.8642468637350582
42,0.86814510688948
43,0.8726614248690255
44,0.867994170257223
45,0.8689504946614799
46,0.8653631605339844
47,0.8639601820917482
48,0.8558471353424127
49,0.8682626190961873
50,0.85569929828285
51,0.8335099055602637
52,0.8431679652459296
53,0.8432198414934257
54,0.8482491688192425
55,0.8515678587531984
56,0.8496661680792374
57,0.8459917878684784
58,0.8370293481457611
59,0.8473517457891743
60,0.855861026516578
61,0.8380964783855255
62,0.84577999565857
63,0.8522670716462266
64,0.8505559275455246
65,0.85150918046748
66,0.8582879970367537
67,0.8515164009933165
68,0.8471499551104292
69,0.8539974275252051
70,0.8512239235864433
71,0.85070153972975
72,0.8514706167639471
73,0.858715962002083
74,0.8567857184438985
75,0.8562965989676374
76,0.8539587075083388
77,0.8577323502933736
78,0.8525822599445189
79,0.8479110196362079
80,0.8506133425766849
81,0.8510309352408139
82,0.8528964002458671
83,0.8529814073638979
84,0.8656108852500485
85,0.8560006899406989
86,0.8550554037925914
87,0.8549226008300476
88,0.8483001101321946
89,0.8600991926334053
90,0.8533194828334245
91,0.8597631366467823
92,0.858186473696935
93,0.8561343347138144
94,0.8582446489019803
95,0.858965468296019
96,0.8691261113913443
97,0.8558905425903361
98,0.8652933411520786
99,0.8596010177184961
100,0.85546683141738
101,0.8579737095127916
102,0.857706032589229
103,0.8595578695794699
104,0.8561168956322878
105,0.8568540743912394
106,0.8555857575466116
107,0.853186292329493
108,0.8611148319709238
109,0.859185226990474
110,0.855035784541881
111,0.8629689223774931
112,0.8626643811482708
113,0.855916977478113
114,0.8641199377312562
115,0.8620296979260726
116,0.8565058958034723
117,0.8623034827426005
118,0.8637083861173512
119,0.8563185805090823
120,0.854547374451332
121,0.8480022926094217
122,0.8707592079190843
123,0.8634663304724183
124,0.8622756230650102
125,0.8574070706318088
126,0.867352919625729
127,0.8590359139266257
128,0.856987977334391
129,0.8579251652356827
130,0.8593520261652194
131,0.8613686505243408
132,0.8652943402281927
133,0.8693850951609541
134,0.8688633252563903
135,0.8664939888726396
136,0.8718251790244078
137,0.8588364209247726
138,0.855499807888369
139,0.8689558738269959
140,0.8600583109187956
141,0.8584706479130917
142,0.862875461235931
143,0.8589180263932015
144,0.8644645815374337
145,0.8617808999468253
146,0.8564991907945023
147,0.860196570724187
148,0.8722402783401787
149,0.8619446592094805
150,0.8569278669963606
151,0.8620467522075592
152,0.8558132328798218
153,0.8598176388586992
154,0.8612044055613092
155,0.8593133896293284
156,0.8636516745260955
157,0.8608826940400995
158,0.8576538740540409
159,0.8607905584908861
160,0.8707302656179395
161,0.8545207034515786
162,0.8648451114457578
163,0.8669274299814237
164,0.8617835628309516
165,0.8637995309353937
166,0.8650439980530046
167,0.8648019333470047
