time,sensor_id,port,axes_x,axes_y,axes_z,temperature
0,29,1,384,-3632,-1696,0
77770,29,2,368,-304,4128,0
93360,30,1,0,0,0,0
93360,31,1,0,0,0,0
93360,30,2,-1872,738,3728,0
93360,31,2,0,0,0,0
93360,73,1,0,0,0,0
93360,73,2,0,0,0,8588
93360,105,1,5460,2884,-14685,0
93360,29,1,416,-3696,-1744,0
93360,29,2,144,-160,3968,0
93360,30,1,0,0,0,0
93360,31,1,0,0,0,0
93360,30,2,-1680,818,3680,0
93360,31,2,0,0,0,0
93360,73,1,0,0,0,0
93360,73,2,0,0,0,8584
93360,105,1,5558,2827,-14574,0
93360,29,1,464,-3632,-1712,0
93360,29,2,208,-160,3856,0
93360,30,1,0,0,0,0
93360,31,1,0,0,0,0
93360,30,2,-1760,866,3456,0
93360,31,2,0,0,0,0
93360,73,1,0,0,0,0
93360,73,2,0,0,0,8584
93360,105,1,5396,2618,-14128,0
109016,29,1,464,-3568,-1872,0
109016,29,2,304,-144,3920,0
109016,30,1,0,0,0,0
109016,31,1,0,0,0,0
109016,30,2,-1936,706,3664,0
109016,31,2,0,0,0,0
109016,73,1,0,0,0,0
109016,73,2,0,0,0,8584
109016,30,2,-1728,658,3712,0
109016,31,2,0,0,0,0
109016,73,1,0,0,0,0
109016,73,2,0,0,0,8588
109016,105,1,5544,2809,-14625,0
109016,29,1,512,-3712,-1904,0
109016,29,2,192,-176,4064,0
109016,30,1,0,0,0,0
109016,31,1,0,0,0,0
109016,30,2,-1792,754,3696,0
109016,31,2,0,0,0,0
109016,73,1,0,0,0,0
109016,73,2,0,0,0,8588
109016,105,1,5410,2675,-14393,0
109016,29,1,496,-3648,-1744,0
109016,29,2,208,-256,3984,0
109016,30,1,0,0,0,0
124637,31,1,0,0,0,0
124637,30,2,-1712,642,3568,0
124637,31,2,0,0,0,0
124637,73,1,0,0,0,0
124637,73,2,0,0,0,8586
124637,105,1,5612,2936,-14507,0
124637,29,1,480,-3632,-1792,0
124637,29,2,240,-192,4000,0
124637,30,1,0,0,0,0
124637,31,1,0,0,0,0
124637,30,2,-1744,706,3840,0
124637,31,2,0,0,0,0
124637,73,1,0,0,0,0
124637,73,2,0,0,0,8586
124637,105,1,5630,2608,-14736,0
124637,29,1,528,-3648,-1712,0
124637,29,2,224,-176,4112,0
124637,30,1,0,0,0,0
124637,31,1,0,0,0,0
124637,30,2,-1904,706,3792,0
124637,31,2,0,0,0,0
124637,73,1,0,0,0,0
124637,29,2,240,-112,4016,0
124637,30,1,0,0,0,0
124637,31,1,0,0,0,0
124637,30,2,-1744,754,3664,0
140258,31,2,0,0,0,0
140258,73,1,0,0,0,0
140258,73,2,0,0,0,8587
140258,73,1,0,0,0,0
140258,73,2,0,0,0,8587
140258,105,1,5667,2840,-14763,0
140258,29,1,416,-3632,-1696,0
140258,29,2,368,-176,4016,0
140258,31,2,0,0,0,0
140258,73,1,0,0,0,0
140258,73,2,0,0,0,8587
140258,105,1,5592,2787,-14555,0
140258,29,1,416,-3552,-1808,0
140258,29,2,272,-144,3952,0
140258,30,1,0,0,0,0
140258,31,1,0,0,0,0
140258,30,2,-1808,706,3632,0
140258,31,2,0,0,0,0
140258,73,1,0,0,0,0
140258,73,2,0,0,0,8584
140258,105,1,5630,2627,-14482,0
140258,29,1,560,-3744,-1824,0
140258,29,2,112,-144,4032,0
140258,30,1,0,0,0,0
155884,31,1,0,0,0,0
155884,30,2,-1712,738,3648,0
155884,31,2,0,0,0,0
155884,73,1,0,0,0,0
155884,73,2,0,0,0,8584
155884,105,1,5779,2883,-14403,0
155884,29,1,464,-3632,-1760,0
155884,73,1,0,0,0,0
155884,73,2,0,0,0,8589
155884,29,2,224,-208,4048,0
155884,30,1,0,0,0,0
155884,31,1,0,0,0,0
155884,30,2,-1744,658,3584,0
155884,29,1,496,-3696,-1680,0
171700,29,2,272,-192,4000,0
171700,30,1,0,0,0,0
187305,31,1,0,0,0,0
202925,30,2,-1824,722,3632,0
202925,31,2,0,0,0,0
202925,73,2,0,0,0,8588
218677,105,1,5753,2659,-14530,0
218677,29,1,352,-3584,-1872,0
233983,29,2,256,-288,3904,0
-1442341716908512,30,1,0,0,0,0
359230,31,1,0,0,0,0
359230,30,2,-1776,754,3584,0
359230,31,2,0,0,0,0
374581,30,1,0,0,0,0
374581,31,1,0,0,0,0
374581,30,2,-1648,834,3856,0
390473,31,2,0,0,0,0
390473,73,1,0,0,0,0
390473,29,1,448,-3584,-1744,0
405837,30,1,0,0,0,0
405837,31,1,0,0,0,0
421685,30,2,-1760,754,3680,0
421685,31,2,0,0,0,0
421685,73,1,0,0,0,0
437067,73,2,0,0,0,8590
437067,105,1,5767,2592,-14465,0
453063,29,1,432,-3616,-1760,0
453063,29,2,224,-192,3872,0
453063,30,1,0,0,0,0
468661,31,1,0,0,0,0
468661,30,2,-1760,850,3840,0
-1442341716894447,31,2,0,0,0,0
-1442341716894447,73,1,0,0,0,0
499906,73,2,0,0,0,8590
499906,105,1,5636,2859,-14719,0
515456,29,1,416,-3664,-1824,0
515456,29,2,224,-208,3952,0
530798,30,1,0,0,0,0
530798,31,1,0,0,0,0
530798,30,2,-1712,706,3712,0
656115,31,2,0,0,0,0
656115,73,1,0,0,0,0
656115,73,2,0,0,0,8590
671684,105,1,5562,2772,-14923,0
671684,29,1,496,-3584,-1696,0
686983,29,2,16,-80,3904,0
686983,30,1,0,0,0,0
686983,31,1,0,0,0,0
702888,30,2,-1760,738,3520,0
702888,73,1,0,0,0,0
718255,73,2,0,0,0,8588
718255,105,1,5605,2688,-14434,0
718255,29,1,416,-3616,-1696,0
734140,29,2,336,-240,4176,0
734140,30,1,0,0,0,0
749505,31,1,0,0,0,0
749505,30,2,-1664,802,3952,0
749505,31,2,0,0,0,0
765402,73,1,0,0,0,0
765402,73,2,0,0,0,8588
765402,105,1,5629,2789,-14338,0
780737,29,1,448,-3648,-1776,0
780737,29,2,224,-176,4032,0
796634,30,1,0,0,0,0
796634,31,1,0,0,0,0
796634,30,2,-1744,818,3840,0
811982,31,2,0,0,0,0
811982,73,1,0,0,0,0
827882,73,2,0,0,0,8589
827882,105,1,5773,2690,-14595,0
827882,29,1,480,-3568,-1824,0
843223,29,2,192,-192,3936,0
858845,30,1,0,0,0,0
858845,31,1,0,0,0,0
858845,30,2,-1808,738,3824,0
-1442341716855406,31,2,0,0,0,0
-1442341716855406,73,1,0,0,0,0
-1442341716855406,73,2,0,0,0,8589
890092,29,2,288,-224,4048,0
999764,30,1,0,0,0,0
999764,31,1,0,0,0,0
1015418,30,2,-1648,466,3472,0
1015418,31,2,0,0,0,0
1015418,73,1,0,0,0,0
1031001,29,1,560,-3648,-1696,0
1031001,29,2,192,-224,3920,0
1046637,30,1,0,0,0,0
1046637,31,1,0,0,0,0
1046637,30,2,-1696,818,3840,0
1062137,31,2,0,0,0,0
1062137,73,1,0,0,0,0
1077844,73,2,0,0,0,8588
1077844,105,1,5903,3008,-15119,0
1077844,29,1,496,-3744,-1728,0
1093422,29,2,240,-208,4000,0
1093422,30,1,0,0,0,0
-1442341716831972,31,1,0,0,0,0
-1442341716831972,30,2,-1760,802,3760,0
-1442341716831972,31,2,0,0,0,0
1124682,73,1,0,0,0,0
1124682,73,2,0,0,0,8588
1140333,105,1,5543,2546,-14476,0
1155985,29,1,512,-3680,-1728,0
1155985,29,2,208,-96,3856,0
1171276,30,1,0,0,0,0
1171276,31,1,0,0,0,0
1186970,30,2,-1840,754,3760,0
1186970,31,2,0,0,0,0
1218466,105,1,5620,2733,-14697,0
1218466,29,1,512,-3744,-1680,0
1234023,29,2,144,-112,3904,0
1327803,30,1,0,0,0,0
1327803,31,1,0,0,0,0
1327803,30,2,-1712,786,3792,0
1359051,31,2,0,0,0,0
1359051,73,1,0,0,0,0
1374610,73,2,0,0,0,8586
1374610,105,1,5645,2767,-15090,0
1374610,29,1,480,-3664,-1760,0
1389973,29,2,208,-128,3936,0
1389973,30,1,0,0,0,0
1405588,31,1,0,0,0,0
1405588,30,2,-1792,786,3664,0
1421488,31,2,0,0,0,0
1421488,73,1,0,0,0,0
1421488,73,2,0,0,0,8589
-1442341716799200,105,1,5621,2712,-14429,0
1468098,29,1,496,-3648,-1728,0
1468098,29,2,128,-144,4048,0
1468098,30,1,0,0,0,0
1483711,31,1,0,0,0,0
1483711,30,2,-1936,674,3712,0
