time,sensor_id,port,axes_x,axes_y,axes_z,temperature
11:48.4,30,1,0,0,0,0
11:48.4,31,1,0,0,0,0
11:48.4,30,2,-1760,738,3520,0
11:48.4,73,1,0,0,0,0
11:48.4,73,2,0,0,0,8588
11:48.4,105,1,5605,2688,-14434,0
11:48.4,29,1,416,-3616,-1696,0
11:48.4,29,2,336,-240,4176,0
11:48.4,30,1,0,0,0,0
11:48.5,31,1,0,0,0,0
11:48.5,30,2,-1664,802,3952,0
11:48.5,31,2,0,0,0,0
11:48.5,73,1,0,0,0,0
11:48.5,73,2,0,0,0,8588
11:48.5,105,1,5629,2789,-14338,0
11:48.5,29,1,448,-3648,-1776,0
11:48.5,29,2,224,-176,4032,0
11:48.5,30,1,0,0,0,0
11:48.5,31,1,0,0,0,0
11:48.5,30,2,-1744,818,3840,0
11:48.5,31,2,0,0,0,0
11:48.5,73,1,0,0,0,0
11:48.5,73,2,0,0,0,8589
11:48.5,105,1,5773,2690,-14595,0
11:48.5,29,1,480,-3568,-1824,0
11:48.6,29,2,192,-192,3936,0
11:48.6,30,1,0,0,0,0
11:48.6,31,1,0,0,0,0
11:48.6,30,2,-1808,738,3824,0
11:48.6,31,2,0,0,0,0
11:48.6,73,1,0,0,0,0
11:48.6,73,2,0,0,0,8589
11:48.6,29,2,288,-224,4048,0
11:48.7,30,1,0,0,0,0
11:48.7,31,1,0,0,0,0
11:48.7,30,2,-1648,466,3472,0
11:48.7,31,2,0,0,0,0
11:48.7,73,1,0,0,0,0
11:48.7,29,1,560,-3648,-1696,0
11:48.7,29,2,192,-224,3920,0
11:48.8,30,1,0,0,0,0
11:48.8,31,1,0,0,0,0
11:48.8,30,2,-1696,818,3840,0
11:48.8,31,2,0,0,0,0
11:48.8,73,1,0,0,0,0
11:48.8,73,2,0,0,0,8588
11:48.8,105,1,5903,3008,-15119,0
11:48.8,29,1,496,-3744,-1728,0
11:48.8,29,2,240,-208,4000,0
11:48.8,30,1,0,0,0,0
11:48.8,31,1,0,0,0,0
11:48.8,30,2,-1760,802,3760,0
11:48.8,31,2,0,0,0,0
11:48.8,73,1,0,0,0,0
11:48.8,73,2,0,0,0,8588
11:48.9,105,1,5543,2546,-14476,0
11:48.9,29,1,512,-3680,-1728,0
11:48.9,29,2,208,-96,3856,0
11:48.9,30,1,0,0,0,0
11:48.9,31,1,0,0,0,0
11:48.9,30,2,-1840,754,3760,0
11:48.9,31,2,0,0,0,0
11:48.9,105,1,5620,2733,-14697,0
11:48.9,29,1,512,-3744,-1680,0
11:48.9,29,2,144,-112,3904,0
11:49.0,30,1,0,0,0,0
11:49.0,31,1,0,0,0,0
11:49.0,30,2,-1712,786,3792,0
11:49.1,31,2,0,0,0,0
11:49.1,73,1,0,0,0,0
11:49.1,73,2,0,0,0,8586
11:49.1,105,1,5645,2767,-15090,0
11:49.1,29,1,480,-3664,-1760,0
11:49.1,29,2,208,-128,3936,0
11:49.1,30,1,0,0,0,0
11:49.1,31,1,0,0,0,0
11:49.1,30,2,-1792,786,3664,0
11:49.1,31,2,0,0,0,0
11:49.1,73,1,0,0,0,0
11:49.1,73,2,0,0,0,8589
11:49.2,105,1,5621,2712,-14429,0
11:49.2,29,1,496,-3648,-1728,0
11:49.2,29,2,128,-144,4048,0
11:49.2,30,1,0,0,0,0
11:49.2,31,1,0,0,0,0
11:49.2,30,2,-1936,674,3712,0
11:49.3,31,2,0,0,0,0
11:49.3,73,1,0,0,0,0
11:49.3,73,2,0,0,0,8589
11:49.3,105,1,5486,2935,-14630,0
11:49.3,29,1,480,-3600,-1904,0
11:49.3,30,2,-1728,786,3760,0
11:49.3,31,2,0,0,0,0
11:49.4,73,1,0,0,0,0
11:49.4,73,2,0,0,0,8586
11:49.4,105,1,5679,2559,-14499,0
11:49.4,29,1,464,-3584,-1680,0
11:49.4,29,2,256,-208,3856,0
11:49.4,30,1,0,0,0,0
11:49.4,31,1,0,0,0,0
11:49.4,30,2,-1808,866,3584,0
11:49.4,31,2,0,0,0,0
11:49.4,73,1,0,0,0,0
11:49.4,73,2,0,0,0,8586
11:49.4,105,1,5426,2905,-14614,0
11:49.4,29,1,384,-3600,-1760,0
11:49.5,29,2,224,-160,4048,0
11:49.5,30,1,0,0,0,0
11:49.5,31,1,0,0,0,0
11:49.5,30,2,-1824,818,3728,0
11:49.5,31,2,0,0,0,0
11:49.6,73,1,0,0,0,0
11:49.6,73,2,0,0,0,8590
11:49.6,105,1,5668,2682,-14583,0
11:49.6,29,1,496,-3616,-1680,0
11:49.6,29,2,224,-112,3968,0
11:49.6,30,1,0,0,0,0
11:49.6,31,1,0,0,0,0
11:49.7,30,2,-1744,802,3776,0
11:49.7,31,2,0,0,0,0
11:49.7,73,1,0,0,0,0
11:49.7,73,2,0,0,0,8590
11:49.7,105,1,5465,2714,-14290,0
11:49.7,29,1,464,-3632,-1840,0
11:49.7,29,2,288,-160,3984,0
11:49.7,30,1,0,0,0,0
11:49.7,31,1,0,0,0,0
11:49.7,30,2,-1824,754,3728,0
11:49.7,31,2,0,0,0,0
11:49.7,73,1,0,0,0,0
11:49.7,73,2,0,0,0,8590
11:49.7,105,1,5472,2725,-14631,0
11:49.8,29,1,400,-3648,-1888,0
11:49.8,29,2,208,-192,4064,0
11:49.8,30,1,0,0,0,0
11:49.8,31,1,0,0,0,0
11:49.8,30,2,-1776,706,3536,0
11:49.8,31,2,0,0,0,0
11:49.8,73,1,0,0,0,0
11:49.8,73,2,0,0,0,8590
11:49.9,105,1,5689,2851,-14879,0
11:49.9,29,1,528,-3616,-1680,0
11:49.9,29,2,288,-144,4032,0
11:49.9,30,1,0,0,0,0
11:49.9,31,1,0,0,0,0
11:49.9,30,2,-1792,770,3728,0
11:49.9,31,2,0,0,0,0
11:50.0,73,1,0,0,0,0
11:50.0,73,2,0,0,0,8589
11:50.0,105,1,5538,2650,-14576,0
11:50.0,29,1,464,-3632,-1776,0
