time,sensor_id,port,x,y,z,temperature
2020-10-13 12:11:53.422874,105.0,1.0,5385.0,2881.0,-14260,0.0
2020-10-13 12:11:53.469497,105.0,1.0,5610.0,2558.0,-14883,0.0
2020-10-13 12:11:53.625985,105.0,1.0,5427.0,2719.0,-14932,0.0
2020-10-13 12:11:53.750679,105.0,1.0,5549.0,2439.0,-15213,0.0
2020-10-13 12:11:53.797811,105.0,1.0,5703.0,2955.0,-14892,0.0
2020-10-13 12:11:53.955932,105.0,1.0,5755.0,2666.0,-14566,0.0
2020-10-13 12:11:54.065451,105.0,1.0,5429.0,2324.0,-14470,0.0
2020-10-13 12:11:54.143532,105.0,1.0,5935.0,2363.0,-14203,0.0
2020-10-13 12:11:54.296887,105.0,1.0,5978.0,2246.0,-14546,0.0
2020-10-13 12:11:54.359374,105.0,1.0,5420.0,2040.0,-13731,0.0
2020-10-13 12:11:54.437517,105.0,1.0,5832.0,2212.0,-15122,0.0
2020-10-13 12:11:54.565634,105.0,1.0,6047.0,2710.0,-14316,0.0
2020-10-13 12:11:54.596912,105.0,1.0,5963.0,2485.0,-14400,0.0
2020-10-13 12:11:54.690607,105.0,1.0,5785.0,2410.0,-14514,0.0
2020-10-13 12:11:54.753391,105.0,1.0,5917.0,1863.0,-14509,0.0
2020-10-13 12:11:54.784647,105.0,1.0,6063.0,2816.0,-14514,0.0
2020-10-13 12:11:54.899970,105.0,1.0,5789.0,2008.0,-15463,0.0
2020-10-13 12:11:54.962445,105.0,1.0,5648.0,2818.0,-15073,0.0
2020-10-13 12:11:55.009030,105.0,1.0,6009.0,2345.0,-13846,0.0
2020-10-13 12:11:55.071833,105.0,1.0,7325.0,2606.0,-13955,0.0
2020-10-13 12:11:55.212341,105.0,1.0,6637.0,2227.0,-15299,0.0
2020-10-13 12:11:55.274866,105.0,1.0,7193.0,2111.0,-14266,0.0
2020-10-13 12:11:55.306115,105.0,1.0,6636.0,3137.0,-14487,0.0
2020-10-13 12:11:55.337346,105.0,1.0,8127.0,887.0,-13345,0.0
2020-10-13 12:11:55.478000,105.0,1.0,7579.0,268.0,-12749,0.0
2020-10-13 12:11:55.540374,105.0,1.0,7971.0,1287.0,-12283,0.0
2020-10-13 12:11:55.602963,105.0,1.0,9034.0,1766.0,-12277,0.0
2020-10-13 12:11:55.634102,105.0,1.0,9856.0,2552.0,-13812,0.0
2020-10-13 12:11:55.780346,105.0,1.0,10031.0,1956.0,-13063,0.0
2020-10-13 12:11:55.968220,105.0,1.0,9536.0,1327.0,-12702,0.0
2020-10-13 12:11:56.124342,105.0,1.0,9041.0,404.0,-13193,0.0
2020-10-13 12:11:56.202348,105.0,1.0,8650.0,661.0,-13744,0.0
2020-10-13 12:11:56.249038,105.0,1.0,9511.0,-1101.0,-10368,0.0
2020-10-13 12:11:56.342930,105.0,1.0,9414.0,1318.0,-14474,0.0
2020-10-13 12:11:56.452071,105.0,1.0,10101.0,1278.0,-12097,0.0
2020-10-13 12:11:56.577373,105.0,1.0,10335.0,2429.0,-13062,0.0
2020-10-13 12:11:56.639560,105.0,1.0,10156.0,108.0,-13320,0.0
2020-10-13 12:11:56.827021,105.0,1.0,8467.0,30.0,-12835,0.0
2020-10-13 12:11:56.874178,105.0,1.0,10119.0,-718.0,-12610,0.0
2020-10-13 12:11:56.936618,105.0,1.0,9565.0,-34.0,-13472,0.0
2020-10-13 12:11:57.061511,105.0,1.0,9385.0,307.0,-12258,0.0
2020-10-13 12:11:57.123787,105.0,1.0,9838.0,-803.0,-12120,0.0
2020-10-13 12:11:57.342775,105.0,1.0,10936.0,-1376.0,-11922,0.0
2020-10-13 12:11:57.545564,105.0,1.0,10568.0,-1075.0,-11450,0.0
