,time,sensor_id,x,y,z
111,1.60905,29.0,480.0,-3600.0,-1904.0
112,1.60905,105.0,5486.0,2935.0,-14630.0
113,1.6242880000000002,30.0,-1728.0,786.0,3760.0
114,1.6558840000000001,105.0,5679.0,2559.0,-14499.0
115,1.6714250000000002,29.0,256.0,-208.0,3856.0
116,1.6714250000000002,29.0,464.0,-3584.0,-1680.0
117,1.7027050000000001,30.0,-1808.0,866.0,3584.0
118,1.7336360000000002,105.0,5426.0,2905.0,-14614.0
119,1.7336360000000002,29.0,384.0,-3600.0,-1760.0
120,1.7652130000000001,29.0,224.0,-160.0,4048.0
121,1.8276780000000001,30.0,-1824.0,818.0,3728.0
122,1.8901500000000002,105.0,5668.0,2682.0,-14583.0
123,1.9057600000000001,29.0,496.0,-3616.0,-1680.0
124,1.9057600000000001,29.0,224.0,-112.0,3968.0
125,1.9367240000000001,30.0,-1744.0,802.0,3776.0
126,1.983578,29.0,464.0,-3632.0,-1840.0
127,1.983578,105.0,5465.0,2714.0,-14290.0
128,1.983578,29.0,288.0,-160.0,3984.0
129,2.014787,30.0,-1824.0,754.0,3728.0
130,2.0306740000000003,105.0,5472.0,2725.0,-14631.0
131,2.046358,29.0,208.0,-192.0,4064.0
132,2.046358,29.0,400.0,-3648.0,-1888.0
133,2.061702,30.0,-1776.0,706.0,3536.0
134,2.2026060000000003,105.0,5689.0,2851.0,-14879.0
135,2.2026060000000003,29.0,528.0,-3616.0,-1680.0
136,2.217896,29.0,288.0,-144.0,4032.0
137,2.233868,30.0,-1792.0,770.0,3728.0
138,2.249142,105.0,5538.0,2650.0,-14576.0
139,2.265051,29.0,208.0,-80.0,4048.0
140,2.265051,29.0,464.0,-3632.0,-1776.0
141,2.280387,30.0,-1760.0,850.0,3648.0
142,2.311626,105.0,5444.0,2883.0,-14519.0
143,2.311626,29.0,416.0,-3616.0,-1856.0
144,2.3275330000000003,29.0,240.0,-64.0,3984.0
145,2.3430020000000003,105.0,5688.0,2771.0,-14509.0
146,2.358772,29.0,464.0,-3632.0,-1856.0
147,2.358772,29.0,208.0,-176.0,4000.0
148,2.37411,30.0,-1744.0,850.0,3744.0
149,2.4209870000000002,29.0,448.0,-3616.0,-1776.0
150,2.4209870000000002,105.0,5510.0,2819.0,-14495.0
151,2.436599,29.0,208.0,-160.0,3936.0
152,2.530339,30.0,-1840.0,802.0,3840.0
153,2.561789,105.0,5421.0,2743.0,-14937.0
154,2.577201,29.0,304.0,-256.0,3968.0
155,2.577201,29.0,496.0,-3568.0,-1776.0
156,2.59302,30.0,-1808.0,754.0,3648.0
157,2.624023,30.0,-1728.0,866.0,3824.0
158,2.624023,29.0,128.0,-176.0,3984.0
159,2.671195,105.0,5631.0,2658.0,-14711.0
160,2.686545,29.0,496.0,-3584.0,-1856.0
161,2.7177480000000003,29.0,256.0,-208.0,4064.0
162,2.7336750000000003,30.0,-1776.0,786.0,3600.0
163,2.858382,105.0,5721.0,2716.0,-15032.0
164,2.874215,29.0,464.0,-3664.0,-1792.0
165,2.874215,29.0,208.0,-144.0,3968.0
166,2.936478,30.0,-1760.0,722.0,3712.0
167,2.952391,29.0,448.0,-3616.0,-1744.0
168,2.952391,29.0,160.0,-176.0,3984.0
169,2.968106,30.0,-1760.0,530.0,3696.0
170,2.9993610000000004,29.0,304.0,-112.0,4144.0
171,2.9993610000000004,29.0,528.0,-3616.0,-1856.0
172,3.014584,30.0,-1728.0,770.0,3568.0
173,3.1398260000000002,105.0,5730.0,2728.0,-15183.0
174,3.155374,29.0,416.0,-3616.0,-1920.0
175,3.155374,29.0,256.0,-112.0,4016.0
176,3.170763,105.0,5533.0,2627.0,-14831.0
177,3.2024320000000004,29.0,208.0,-256.0,3968.0
178,3.217665,29.0,256.0,-112.0,4016.0
179,3.249216,30.0,-1904.0,866.0,3664.0
180,3.2648210000000004,30.0,-1680.0,642.0,3616.0
181,3.280402,105.0,5456.0,2821.0,-14315.0
182,3.2960610000000004,29.0,208.0,-144.0,3840.0
183,3.2960610000000004,29.0,512.0,-3600.0,-1632.0
184,3.3113580000000002,30.0,-1904.0,818.0,3728.0
185,3.3426020000000003,29.0,448.0,-3584.0,-1744.0
186,3.3426020000000003,105.0,5408.0,2797.0,-14308.0
187,3.358525,29.0,336.0,-128.0,4112.0
188,3.3738780000000004,30.0,-1600.0,786.0,4000.0
189,3.451989,29.0,192.0,-144.0,4096.0
190,3.451989,105.0,5535.0,2746.0,-14497.0
191,3.451989,29.0,464.0,-3536.0,-1776.0
192,3.4678720000000003,30.0,-1744.0,866.0,3632.0
193,3.514638,29.0,528.0,-3648.0,-1696.0
194,3.514638,105.0,5603.0,2734.0,-14691.0
195,3.5304130000000002,29.0,160.0,-176.0,3936.0
196,3.5612980000000003,30.0,-1888.0,690.0,3712.0
197,3.5772220000000003,105.0,5501.0,2707.0,-14900.0
198,3.592576,29.0,416.0,-3600.0,-1712.0
199,3.6082120000000004,29.0,208.0,-176.0,4096.0
200,3.6240690000000004,30.0,-1760.0,754.0,3696.0
201,3.677499,29.0,480.0,-3632.0,-1728.0
202,3.677499,105.0,5640.0,2841.0,-14637.0
203,3.724733,29.0,240.0,-192.0,4000.0
204,3.756069,30.0,-1728.0,754.0,3664.0
205,3.7712830000000004,105.0,5760.0,2762.0,-14804.0
206,3.7871750000000004,29.0,240.0,-160.0,4032.0
207,3.7871750000000004,29.0,464.0,-3648.0,-1872.0
208,3.833724,30.0,-1888.0,770.0,3792.0
209,3.865276,29.0,448.0,-3584.0,-1776.0
210,3.865276,105.0,5472.0,2659.0,-14415.0
211,3.880621,29.0,224.0,-144.0,4064.0
212,3.927734,30.0,-1840.0,802.0,3808.0
213,4.052791,29.0,496.0,-3680.0,-1712.0
214,4.052791,29.0,336.0,-272.0,4080.0
215,4.0839810000000005,30.0,-1776.0,754.0,3792.0
216,4.13081,105.0,5737.0,2679.0,-14788.0
217,4.13081,29.0,496.0,-3664.0,-1648.0
218,4.146151000000001,29.0,448.0,-3584.0,-1888.0
219,4.146151000000001,29.0,208.0,-144.0,4000.0
220,4.146151000000001,105.0,5580.0,2729.0,-14583.0
221,4.162053,29.0,208.0,-256.0,3952.0
222,4.177434,30.0,-1728.0,850.0,3824.0
223,4.193306000000001,29.0,400.0,-3616.0,-1824.0
224,4.193306000000001,105.0,5600.0,2982.0,-14707.0
225,4.208672,29.0,192.0,-160.0,3968.0
226,4.224274,30.0,-1840.0,850.0,3664.0
227,4.349538,105.0,5671.0,2520.0,-15033.0
228,4.349538,29.0,432.0,-3648.0,-1696.0
229,4.364898,29.0,224.0,-256.0,3952.0
230,4.38077,30.0,-1760.0,738.0,3600.0
231,4.427386,29.0,528.0,-3632.0,-1776.0
232,4.427386,105.0,5384.0,2639.0,-14758.0
233,4.443256,29.0,96.0,-112.0,4016.0
234,4.458624,105.0,5648.0,2640.0,-14550.0
235,4.474516,29.0,256.0,-208.0,3904.0
236,4.474516,29.0,512.0,-3568.0,-1920.0
237,4.521475000000001,105.0,5487.0,2839.0,-14616.0
238,4.521475000000001,29.0,288.0,-240.0,4096.0
239,4.521475000000001,29.0,432.0,-3584.0,-1856.0
240,4.5523430000000005,30.0,-1792.0,786.0,3680.0
241,4.583655,105.0,5456.0,2741.0,-14783.0
242,4.630747,29.0,512.0,-3568.0,-1808.0
243,4.693263,29.0,176.0,-160.0,4096.0
244,4.72417,30.0,-1728.0,850.0,3808.0
245,4.740055,105.0,5595.0,2921.0,-14711.0
246,4.7556970000000005,29.0,448.0,-3648.0,-1808.0
247,4.7556970000000005,29.0,480.0,-3648.0,-1712.0
248,4.7556970000000005,29.0,272.0,-160.0,4016.0
249,4.786926,30.0,-1808.0,818.0,3760.0
250,4.802708,30.0,-1712.0,738.0,3776.0
251,4.833889,105.0,5595.0,3035.0,-14222.0
252,4.943213,29.0,480.0,-3552.0,-1920.0
253,4.974117000000001,29.0,464.0,-3632.0,-1824.0
254,4.974117000000001,105.0,5595.0,2593.0,-14246.0
255,4.990010000000001,29.0,96.0,-144.0,4016.0
256,5.0053600000000005,30.0,-1696.0,754.0,3728.0
257,5.0525020000000005,30.0,-1744.0,722.0,3712.0
258,5.067849000000001,30.0,-1728.0,834.0,3728.0
259,5.083748,29.0,400.0,-3568.0,-1776.0
260,5.083748,105.0,5671.0,2670.0,-14587.0
261,5.099456,29.0,208.0,-192.0,3968.0
262,5.115093,29.0,256.0,-192.0,4016.0
263,5.115093,29.0,464.0,-3568.0,-1776.0
264,5.130634000000001,105.0,5634.0,2916.0,-14791.0
265,5.146283,29.0,464.0,-3616.0,-1920.0
266,5.161867,29.0,144.0,-192.0,4000.0
267,5.161867,30.0,-1824.0,786.0,3632.0
268,5.302484000000001,105.0,5679.0,2930.0,-14968.0
269,5.302484000000001,105.0,5375.0,2898.0,-14727.0
270,5.3178030000000005,29.0,288.0,-144.0,4032.0
271,5.333369,30.0,-1760.0,818.0,3664.0
272,5.349357,30.0,-1712.0,738.0,3760.0
273,5.364660000000001,105.0,5383.0,2686.0,-14186.0
274,5.380546000000001,29.0,240.0,-176.0,4032.0
275,5.380546000000001,29.0,496.0,-3680.0,-1872.0
276,5.4114770000000005,30.0,-1744.0,722.0,3552.0
277,5.427418,105.0,5631.0,2998.0,-14566.0
278,5.4427650000000005,29.0,432.0,-3776.0,-1728.0
279,5.4427650000000005,29.0,256.0,-208.0,3872.0
280,5.458656,30.0,-1712.0,658.0,3728.0
281,5.474010000000001,30.0,-1792.0,802.0,3792.0
282,5.521133000000001,105.0,5645.0,2860.0,-14841.0
283,5.536663000000001,29.0,384.0,-3680.0,-1808.0
284,5.599312,29.0,128.0,-144.0,3872.0
285,5.614597000000001,30.0,-1776.0,754.0,3664.0
286,5.630485,105.0,5323.0,2650.0,-14431.0
287,5.661823,29.0,480.0,-3664.0,-1824.0
288,5.661823,29.0,96.0,-192.0,3904.0
289,5.677397,30.0,-1744.0,690.0,3648.0
290,5.708563000000001,29.0,384.0,-3552.0,-1600.0
291,5.708563000000001,105.0,5385.0,2881.0,-14260.0
292,5.723937,29.0,128.0,-112.0,3840.0
293,5.739676,30.0,-1808.0,738.0,3856.0
294,5.755186,105.0,5610.0,2558.0,-14883.0
295,5.771043000000001,29.0,240.0,-160.0,4064.0
296,5.771043000000001,29.0,496.0,-3584.0,-1760.0
297,5.802354,30.0,-1712.0,802.0,3696.0
298,5.817673,30.0,-1680.0,866.0,3664.0
299,5.817673,29.0,160.0,-144.0,3840.0
300,5.833545,30.0,-1792.0,626.0,3616.0
301,5.9116740000000005,105.0,5427.0,2719.0,-14932.0
302,5.9116740000000005,29.0,416.0,-3568.0,-1808.0
303,5.926992,29.0,128.0,-224.0,3920.0
304,5.942919000000001,30.0,-1664.0,674.0,3600.0
305,5.9740470000000006,30.0,-1840.0,834.0,3680.0
306,6.005153,30.0,-1728.0,690.0,3424.0
307,6.036368,29.0,208.0,-192.0,4016.0
308,6.036368,105.0,5549.0,2439.0,-15213.0
309,6.036368,29.0,480.0,-3680.0,-1664.0
310,6.067613000000001,30.0,-1728.0,754.0,3696.0
311,6.083500000000001,105.0,5703.0,2955.0,-14892.0
312,6.194982,29.0,496.0,-3712.0,-1776.0
313,6.210543,29.0,128.0,-128.0,3952.0
314,6.225849,30.0,-1712.0,786.0,3952.0
315,6.241621,105.0,5755.0,2666.0,-14566.0
316,6.257370000000001,29.0,656.0,-3680.0,-1776.0
317,6.257370000000001,29.0,192.0,-112.0,4096.0
318,6.2727450000000005,30.0,-1904.0,914.0,3696.0
319,6.35114,105.0,5429.0,2324.0,-14470.0
320,6.366475,29.0,368.0,-80.0,3856.0
321,6.366475,29.0,352.0,-3680.0,-1680.0
322,6.3823430000000005,30.0,-1680.0,610.0,3728.0
