time,x,y,z
0.09336000000000001,-1872.0,738.0,3728.0
0.09336000000000001,-1680.0,818.0,3680.0
0.09336000000000001,-1760.0,866.0,3456.0
0.109016,-1936.0,706.0,3664.0
0.109016,-1728.0,658.0,3712.0
0.109016,-1792.0,754.0,3696.0
0.12463700000000001,-1712.0,642.0,3568.0
0.12463700000000001,-1744.0,706.0,3840.0
0.12463700000000001,-1904.0,706.0,3792.0
0.12463700000000001,-1744.0,754.0,3664.0
0.14025800000000002,-1808.0,706.0,3632.0
0.15588400000000002,-1712.0,738.0,3648.0
0.15588400000000002,-1744.0,658.0,3584.0
0.20292500000000002,-1824.0,722.0,3632.0
0.35923000000000005,-1776.0,754.0,3584.0
0.374581,-1648.0,834.0,3856.0
0.42168500000000003,-1760.0,754.0,3680.0
0.46866100000000005,-1760.0,850.0,3840.0
0.530798,-1712.0,706.0,3712.0
0.7028880000000001,-1760.0,738.0,3520.0
0.7495050000000001,-1664.0,802.0,3952.0
0.7966340000000001,-1744.0,818.0,3840.0
0.8588450000000001,-1808.0,738.0,3824.0
1.0154180000000002,-1648.0,466.0,3472.0
1.046637,-1696.0,818.0,3840.0
1.1090790000000001,-1760.0,802.0,3760.0
1.18697,-1840.0,754.0,3760.0
1.327803,-1712.0,786.0,3792.0
1.405588,-1792.0,786.0,3664.0
1.483711,-1936.0,674.0,3712.0
1.6242880000000002,-1728.0,786.0,3760.0
1.7027050000000001,-1808.0,866.0,3584.0
1.8276780000000001,-1824.0,818.0,3728.0
1.9367240000000001,-1744.0,802.0,3776.0
2.014787,-1824.0,754.0,3728.0
2.061702,-1776.0,706.0,3536.0
2.233868,-1792.0,770.0,3728.0
2.280387,-1760.0,850.0,3648.0
2.37411,-1744.0,850.0,3744.0
2.530339,-1840.0,802.0,3840.0
2.59302,-1808.0,754.0,3648.0
2.624023,-1728.0,866.0,3824.0
2.7336750000000003,-1776.0,786.0,3600.0
2.936478,-1760.0,722.0,3712.0
2.968106,-1760.0,530.0,3696.0
3.014584,-1728.0,770.0,3568.0
3.249216,-1904.0,866.0,3664.0
3.2648210000000004,-1680.0,642.0,3616.0
3.3113580000000002,-1904.0,818.0,3728.0
3.3738780000000004,-1600.0,786.0,4000.0
3.4678720000000003,-1744.0,866.0,3632.0
3.5612980000000003,-1888.0,690.0,3712.0
3.6240690000000004,-1760.0,754.0,3696.0
3.756069,-1728.0,754.0,3664.0
3.833724,-1888.0,770.0,3792.0
3.927734,-1840.0,802.0,3808.0
4.0839810000000005,-1776.0,754.0,3792.0
4.177434,-1728.0,850.0,3824.0
4.224274,-1840.0,850.0,3664.0
4.38077,-1760.0,738.0,3600.0
4.5523430000000005,-1792.0,786.0,3680.0
4.72417,-1728.0,850.0,3808.0
4.786926,-1808.0,818.0,3760.0
4.802708,-1712.0,738.0,3776.0
5.0053600000000005,-1696.0,754.0,3728.0
5.0525020000000005,-1744.0,722.0,3712.0
5.067849000000001,-1728.0,834.0,3728.0
5.161867,-1824.0,786.0,3632.0
5.333369,-1760.0,818.0,3664.0
5.349357,-1712.0,738.0,3760.0
5.4114770000000005,-1744.0,722.0,3552.0
5.458656,-1712.0,658.0,3728.0
5.474010000000001,-1792.0,802.0,3792.0
5.614597000000001,-1776.0,754.0,3664.0
5.677397,-1744.0,690.0,3648.0
5.739676,-1808.0,738.0,3856.0
5.802354,-1712.0,802.0,3696.0
5.817673,-1680.0,866.0,3664.0
5.833545,-1792.0,626.0,3616.0
5.942919000000001,-1664.0,674.0,3600.0
5.9740470000000006,-1840.0,834.0,3680.0
6.005153,-1728.0,690.0,3424.0
6.067613000000001,-1728.0,754.0,3696.0
6.225849,-1712.0,786.0,3952.0
6.2727450000000005,-1904.0,914.0,3696.0
6.3823430000000005,-1680.0,610.0,3728.0
6.413348,-2000.0,818.0,3328.0
6.566893,-1904.0,818.0,3632.0
6.613825,-1936.0,1074.0,3600.0
6.676059,-1984.0,914.0,3392.0
6.754564,-1856.0,738.0,3744.0
6.773211000000001,-1872.0,946.0,3776.0
6.851323000000001,-1824.0,834.0,3616.0
6.929468000000001,-1840.0,866.0,3456.0
