frequency,penh,rt,mv,te,ti,eip
121.5373256,0.199869637,0.2400821,199.3517478,0.317421,0.1762545,6
125.5969781,0.243220511,0.2209558,181.3862363,0.3071395,0.170579,6
110.7179803,0.209222927,0.2718256,179.2815146,0.3490569,0.1928605,8
112.4976657,0.202479965,0.2589375,184.917958,0.3244013,0.2089431,6
106.1854437,0.254661563,0.2666211,188.3599282,0.3414505,0.2235987,8
111.389399,0.203515611,0.256395,194.3048392,0.3201014,0.2185495,8
119.1022785,0.220049061,0.2355413,199.2105403,0.2958701,0.2078986,6
109.6748379,0.260425995,0.2529518,190.2035915,0.3309418,0.2161299,6
130.1354146,0.238634227,0.2152443,186.1987467,0.298,0.1630582,8
107.9136691,0.316126962,0.2470377,174.0934066,0.352,0.204,8
92.09616866,0.311776245,0.307668,151.9616803,0.4294929,0.222,8
107.815336,0.272662088,0.2618717,194.845178,0.334,0.2225071,6
113.4366464,0.279456725,0.2356528,202.6666532,0.3069296,0.222,8
121.5988301,0.157207886,0.2135493,249.4594474,0.2523554,0.2410704,8
147.2964835,0.18080684,0.1952486,205.3482994,0.2696971,0.1376446,8
120.1481908,0.179849496,0.2524455,199.337473,0.3210804,0.1783029,6
107.0245568,0.350073445,0.254722,180.3768763,0.3416994,0.2189196,6
112.7856013,0.268362785,0.2470174,181.2042631,0.3256822,0.2063006,8
110.5746194,0.278176788,0.2417906,182.698887,0.3223022,0.2203178,8
112.2826349,0.238614022,0.2423963,195.9173229,0.306668,0.2276978,6
109.1463554,0.269734653,0.2571723,192.0038573,0.3303886,0.219332,6
110.8750294,0.227266995,0.2635985,182.0624374,0.3355384,0.2056114,8
124.0620906,0.201137486,0.2428251,207.9097321,0.3131672,0.1704616,6
112.5634084,0.252734949,0.2559272,194.7916053,0.3302001,0.2028328,6
104.3811554,0.280142094,0.2753666,169.7191018,0.3610165,0.2137999,6
104.7150572,0.306908085,0.2618526,173.2836368,0.35,0.2229835,6
110.6425604,0.239336752,0.255226,181.4037019,0.3262868,0.216,6
107.2899593,0.229926996,0.2670346,193.7644715,0.341519,0.2177132,8
97.20945673,0.352972986,0.2672983,172.4478959,0.3747429,0.242481,8
103.8346302,0.302457063,0.2500017,183.6640049,0.3385848,0.2392571,6
108.2330539,0.251961788,0.2585049,188.9532907,0.3349441,0.2194152,8
112.1273168,0.229691999,0.2488624,203.3892421,0.3140501,0.2210559,8
105.4630566,0.30924659,0.2585747,197.709318,0.3349697,0.2339499,6
104.3608031,0.269748869,0.2655876,204.1871955,0.3358982,0.2390303,6
111.0366754,0.287666432,0.2393513,194.3681805,0.3142602,0.2261018,8
100.4482167,0.278162932,0.2772628,175.3788733,0.3675829,0.2297398,8
102.4553598,0.246073888,0.2768803,191.4370129,0.3512038,0.2344171,6
110.2727928,0.192455973,0.2745282,183.8416493,0.343309,0.2007962,6
110.2223313,0.262238207,0.2264344,201.0026737,0.2856633,0.258691,6
107.8519064,0.253393443,0.2616619,198.9682518,0.3339817,0.2223367,8
114.9642001,0.190464514,0.2650624,187.9909711,0.3438833,0.1780183,6
106.6934681,0.345917757,0.2559234,178.6705691,0.340242,0.2221167,6
105.8043565,0.334022872,0.2592466,179.2430914,0.3513264,0.215758,8
101.9138573,0.323496891,0.2679804,170.8611754,0.3560589,0.2326736,6
96.89126007,0.27119687,0.2962083,167.4061152,0.3893098,0.2299411,6
104.7139425,0.2315401,0.2799878,179.4286473,0.3482994,0.2246902,6
105.5413055,0.300454007,0.2583411,180.6670899,0.3447972,0.2237006,8
105.7537999,0.302815068,0.2578079,176.3082606,0.3401527,0.2272028,8
111.617254,0.13695559,0.2643337,198.0105171,0.305704,0.2318473,6
106.4447318,0.522224555,0.2187503,189.9800131,0.3293768,0.234296,8
107.6598165,0.304595824,0.2435098,195.3888525,0.3106878,0.2466232,6
99.03487216,0.491936411,0.2427654,158.0923057,0.356535,0.2493122,8
98.77112262,0.337214766,0.2542001,204.7502283,0.346,0.261465,6
112.9246602,0.225796035,0.2526629,188.8266741,0.3373277,0.194,8
104.6688409,0.365088234,0.2519553,165.0374473,0.3485642,0.2246723,6
103.281743,0.425006648,0.2503453,165.3597881,0.3454994,0.2354358,8
83.04491373,0.568989749,0.3089828,136.4374182,0.494,0.2285006,8
110.1137255,0.168260261,0.2424935,163.8540496,0.2908912,0.254,8
116.085212,0.152281639,0.2521644,207.5104594,0.2937529,0.2231088,6
104.1219991,0.214708518,0.2613979,181.5297284,0.336,0.2402471,8
108.4866385,0.23385921,0.2550569,187.1963729,0.3290635,0.224,8
94.28988325,0.438930674,0.2652945,167.9905187,0.387399,0.2489365,6
100.1965522,0.287685041,0.2726611,168.90702,0.356222,0.242601,6
102.7741307,0.263522547,0.2735293,187.2274089,0.3460265,0.237778,6
95.68958299,0.310192817,0.2888056,184.7984213,0.375054,0.2519735,6
104.3577355,0.479360689,0.2264598,178.9992,0.3339994,0.240946,8
110.1498295,0.50426063,0.2014938,146.192691,0.306712,0.2380006,6
111.9044098,0.259339931,0.2214252,188.566808,0.2788839,0.257288,6
112.3355267,0.275860213,0.2330875,199.9312671,0.2969981,0.2371161,6
110.7544203,0.19376168,0.2538515,191.4184522,0.3127372,0.2290019,8
125.3917971,0.127552511,0.2173857,212.4509899,0.2472374,0.2312628,8
116.5585845,0.281342708,0.2308371,173.4576168,0.326,0.1887626,6
115.4337635,0.280666349,0.2285242,189.8889231,0.3017786,0.218,6
105.8499006,0.305736618,0.2566558,166.2145782,0.352619,0.2142214,8
101.0692112,0.368443375,0.2603053,164.3042325,0.3642716,0.229381,6
100.7048162,0.334171889,0.2606615,163.7131793,0.3580723,0.2377284,6
100.9246888,0.296065198,0.2718095,164.8979344,0.362575,0.2319277,8
99.5432293,0.346571128,0.2708551,174.7308579,0.3673282,0.235425,6
96.98195392,0.375202493,0.2845628,172.7757215,0.39,0.2286718,6
101.3459074,0.341945491,0.266036,177.8180006,0.3560318,0.236,6
120.0076325,0.220885236,0.2057228,210.8585016,0.26,0.2399682,8
118.5425197,0.281335578,0.2186507,193.5188967,0.3121475,0.194,8
108.358465,0.303820602,0.239674,188.3616982,0.3118652,0.2418525,6
132.0888509,0.134302962,0.2246546,187.3355723,0.2781049,0.1761348,10
104.3816276,0.267614168,0.2772056,170.1212863,0.3749187,0.1998951,8
112.5531884,0.217624785,0.2503677,178.4903465,0.314,0.2190813,8
106.8963084,0.268720235,0.2193352,152.7632076,0.2812916,0.28,6
